1;'OTSS Geral';1;1;0
2;'Adesão';2;1;6
3;'Estatísticas, mês 1';3;1;8
4;'Estatísticas, mês 2';4;1;8
5;'Estatísticas, mês 3';5;1;8
6;'GIDI, Observação 1';6;2;0
7;'GIDI, Observação 2';7;2;0
8;'GIDI, Observação 3';8;2;0
9;'Preparação e Leitura de TDRs (Testes de Diagnóstico Rápido)';9;3;0
10;'Avaliação da Unidade de Microscopia';10;4;0
11;'Preparação de esfregaços de sangue';11;4;0
12;'Coloração de Esfregaços de Sangue';12;4;0
13;'Leitura de Esfregaços de Sangue';13;4;0
14;'Revisão de Lâminas';14;4;7
15;'Feedback e Planos de Acção';15;5;0
16;'Resultados Combinados';16;1;2
17;'Resultados Combinados';17;2;2
18;'Resultados Combinados';18;3;2
19;'Resultados Combinados';19;4;2
