1;'1';'Prontidão no Tratamento';0;;
2;'2';'Prontidão na Leitura';0;;
3;'3';'Prontidão nos Exames de Microscopia';0;;
4;'4';'Revisão de Lâminas';0;;
5;'4.1';'Resultado de Teste Negativo/Positivo';4;;
6;'4.2';'Especificação';4;;
7;'5';'Adesão';;;
8;'5.1';'Registo Clínico/Farmacêutico para Resultados de Lab';7;;
9;'5.2';'Resultados de Lab para o Registo Clínico/Farmacêutico';7;;
10;'5.2.1';'Resultado  Positivo do Teste';9;;
11;'5.2.2';'Resultado Negativo do Teste';9;;
12;'6';'Observação Clínica Geral';0;;
13;'6.1';'Observação Clínica 1';12;;
14;'6.1.1';'Observação clínica 1 : Admissão do Caso';13;;
15;'6.1.2';'Observação clínica 1: Diagnóstico Final e Tratamento';13;;
16;'6.2';'Observação clínica 2';12;;
17;'6.2.1';'Observação clínica 2: Admissão do Caso';16;;
18;'6.2.2';'Observação clínica 2: Diagnóstico Final e Tratamento';16;;
19;'6.3';'Observação clínica 3';12;;
20;'6.3.1';'Observação clínica 3: Admissão do Caso';19;;
21;'6.3.2';'Observação clínica 3: Diagnóstico Final e Tratamento';19;;
22;'7';'Observação de TDRs';0;;
23;'7.1.';'TDR, Observação 1';22;;
24;'7.2';'TDR, Observação 2';22;;
25;'7.3';'TDR, Observação 3';22;;
26;'8';'Observação da Microscopia';0;;
27;'8.1';'Preparação de Lâminas';26;;
28;'8.1.1';'Preparação de Lâminas: Observação  1';27;;
29;'8.1.2';'Preparação de Lâminas: Observação 2';27;;
30;'8.1.3';'Preparação de Lâminas: Observação 3';27;;
31;'8.2';'Coloração de Lâminas';26;;
32;'8.2.1';'Coloração de Lâminas: Observação 1';31;;
33;'8.2.2';'Coloração de Lâminas: Observação 2';31;;
34;'8.2.3';'Coloração de Lâminas: Observação 3';31;;
35;'8.3';'Leitura de Lâminas';26;;
36;'8.3.1';'Leitura de Lâminas: Observação 1';35;;
37;'8.3.2';'Leitura de Lâminas: Observação 2';35;;
38;'8.3.3';'Leitura de Lâminas: Observação 3';35;;
