1;'MZ_AgeUnit';1
2;'MZ_AvailableNotYesRecent';1
3;'MZ_Gender';1
4;'MZ_Officer';1
5;'MZ_MALdiagnose2';1
6;'MZ_PresentFunctional';1
7;'MZ_PositiveNegative';1
9;'MZ_ReportingFormat';1
10;'MZ_TestType';1
11;'MZ_Water';1
12;'MZ_Treatment';1
13;'MZ_Yes0No1';1
14;'MZ_Yes1Apparent1Asked';1
15;'MZ_Yes1No0';1
16;'MZ_Yes1No1NotAsked0';1
17;'MZ_Yes1No1Unk1Asked0';1
18;'MZ_YesNormal1YesAbnormal1No0';1
19;'MZ_Yes1NotAvailable1No0';1
24;'Positive Integer or Zero';2
25;'Text (Long)';3
26;'Text';4
27;'date';5
28;'Positive Integer';6
33;'MZ_ANClocation';1
34;'MZ_Asked';1
35;'MZ_DoneCBHorizontal';8
36;'MZ_Feedback';1
38;'MZ_MALdiagnose';1
39;'MZ_NoPartiallyCompletely';1
40;'MZ_MALspecies';1
41;'MZ_MALresults';1
42;'MZ_Problem';1
43;'MZ_SymptonPresence';1
44;'MZ_TestResult';1
45;'MZ_Yes1No0NA0';1
46;'MZ_Yes1No0NotAsked0';1
48;'MZ_Yes0No1Asked0NA1';1
49;'Label';7
50;'Diagnosis';1
53;'MZ_Yes1No0CBHorizontal';8
54;'MZ_Yes1No1NotAsked0Male1CBVertical';9
55;'MZ_Yes1No1NotAsked0Applicable1CBVertical';9
56;'MZ_Yes1No0Prescribed1CBVertical';9
57;'MZ_Yes1No0NA1';1
58;'MZ_Yes1No0NotAvailable1';1
59;'MZ_Yes1No0Applicable1';1
60;'MZ_Yes0No1Unk0CBVertical';9
61;'MZ_TestType3';1
62;'MZ_TestType2';1
63;'MZ_SevereNonsevereCBVertical';9
64;'MZ_Power';1
65;'MZ_PharmacyClinical';1
66;'MZ_PatientInfoRec';1
67;'MZ_LabOff';1
68;'MZ_NormalAbnormalCBVertical';9
69;'MZ_MALresults2';1
70;'MZ_AntiMalTreatment';1
72;'MZ_GenderCBHorizontal';8
73;'MZ_GenderCBVertical';9
74;'MZ_Yes0No1CBHorizontal';8
75;'MZ_Yes1No0NotAvailable1CBVertical';9
76;'MZ_Yes1No0NA1CBHorizontal';8
77;'MZ_Yes1No1Asked0CBHorizontal';8
78;'MZ_Yes1No1NotAsked0CBVertical';9
79;'MZ_CountingMethod';1
80;'MZ_Duration';1
81;'MZ_PresentFunctionalCBVertical';9
82;'MZ_DoneCBVertical';9
83;'MZ_Yes1No0NA1CBVertical';9
88;'MZ_Yes0NA1No1';1
89;'MZ_HealthFacilityLevel';1
90;'MZ_ Frequency';1
91;'MZ_PositiveNegativeCBVertical';9
92;'MZ_Yes0No1CBHorizontal';8
93;'MZ_Yes0NA1No1CBHorizontal';8
94;'MZ_CCMOptOut';1
95;'MZ_ClinOff';1
96;'MZ_GapAddressedCBVertical';9
97;'MZ_GapAddressed';1
