1;'Years';'Anos';0.00;1
2;'Months';'Meses';0.00;1
3;'OPD';'CE';0.00;33
4;'ANC';'CPN';0.00;33
5;'Specialized obstetrics clinic';'Clínica especializada em obstetrícia';0.00;33
6;'Other';'Outro';0.00;33
7;'Asked [1]';'Questionado';1.00;34
8;'Not Asked [0]';'Não questionado';0.00;34
9;'Not available [0]';'Não disponível';0.00;2
10;'Available [0.5]';'Disponível';0.50;2
11;'Most recent [1]';'Mais recente';1.00;2
12;'Done [1]';'Realizado';1.00;35
13;'Not Done [0]';'Não realizado';0.00;35
14;'Guideline review';'Revisão de Linhas de Orientação';0.00;36
15;'Lecture';'Palestra';0.00;36
16;'Demonstration';'Demonstração';0.00;36
17;'SOP Review';'Revisão de POPs';0.00;36
18;'Clinical mentoring';'Tutoria Clínica';0.00;36
19;'Male';'Masculino';0.00;3
20;'Female';'Feminino';0.00;3
24;'Simple malaria';'Malária simples';0.00;38
25;'Severe malaria';'Malária grave';0.00;38
26;'Other';'Outro';0.00;38
27;'PF(HRP2) only';'PF(HRP2) apenas';0.00;5
28;'PF(HRP2) + Pan(LDH)';'PF(HRP2) + Pan(LDH)';0.00;5
29;'RDT +';'TDR +';0.00;41
30;'RDT -';'TDR -';0.00;41
31;'Microscopy +';'Microscopia +';0.00;41
32;'Microscopy -';'Microscopia -';0.00;41
33;'Test not available';'Teste não disponível';0.00;41
34;'Test not ordered';'Teste não pedido';0.00;41
35;'Pf';'Pf';0.00;40
36;'Pv';'Pv';0.00;40
37;'Pm';'Pm';0.00;40
38;'Po';'Po';0.00;40
39;'No [0]';'Não';0.00;39
40;'Partially [0.33]';'Parcial';0.33;39
41;'Completely [1]';'Completo';1.00;39
42;'Medico';'Medico';0.00;4
43;'Tec. Medicina/ Agente de Medicina';'Tec. Medicina/ Agente de Medicina';0.00;4
44;'Técnico de Laboratório';'Técnico de Laboratório';0.00;4
45;'Assistente de Laboratório';'Assistente de Laboratório';0.00;4
46;'Enfermeiro(a)';'Enfermeiro(a)';0.00;4
48;'Parteira';'Parteira';0.00;4
49;'Outro';'Outro';0.00;4
50;'Positive';'Positivo';0.00;7
51;'Negative';'Negativo';0.00;7
52;'Unknown/No Test Result';'Desconhecido/Sem resultado do teste';0.00;7
53;'Present & Functional [1]';'Presente & Functional';1.00;6
54;'Present & Non-functional [0]';'Presente & Não-funcional';0.00;6
55;'Not present [0]';'Não existe';0.00;6
56;'Clinical practice general';'Clínica geral';0.00;42
57;'Adherence to Malariatest';'Adesão ao teste da Malária';0.00;42
58;'Malaria treatment';'Tratamento da Malária';0.00;42
59;'RDT';'TDR';0.00;42
60;'Other';'Outro';0.00;42
61;'Paper reports on designated tally sheets';'Relatórios em papel e em folhas de controlo designadas';0.00;9
62;'Paper reports without tally sheets';'Relatórios em papel sem folhas de controlo';0.00;9
63;'SMS-based reports';'Relatórios com base em SMS';0.00;9
64;'Direct computer entry into designated form';'Entradas directas no computador em formulários designados';0.00;9
65;'Email';'Email';0.00;9
66;'Yes, a day or greater [1]';'Yes, a day or greater';1.00;43
67;'No [1]';'No';1.00;43
68;'Not Asked [0]';'Not Asked';0.00;43
69;'Normal';'Normal';0.00;44
70;'Abnormal';'Anormal';0.00;44
71;'Not Ordered';'Não pedido';0.00;44
72;'RDT';'TDR';0.00;10
73;'Microscopy Thick smear';'Microscopia Esfregaço Espesso';0.00;10
74;'Microscopy Thin smear';'Microscopia Esfregaço Fino';0.00;10
75;'Microscopy Thick and Thin smear';'Microscopia Esfregaço Espesso e Fino';0.00;10
76;'Traditional treatment [1]';'Tratamento tradicional';1.00;12
77;'Antimalarial treatment [1]';'Tratamento antimalárico';1.00;12
78;'Other / Unknown [1]';'Outro / Desconhecido';1.00;12
79;'Not Asked [0]';'Não questionado';0.00;12
80;'Running tap water [1]';'Água de torneira/canalizada';1.00;11
81;'Rain water [0.33]';'Água da Chuva';0.33;11
82;'Well [1]';'Poço';1.00;11
83;'Bore hole [1]';'Furo';1.00;11
84;'Stream/ river [0.33]';'Riacho/Rio';0.33;11
85;'Commercial Bottled water [1]';'Água engarrafada comercial';1.00;11
86;'Externally filled water tank [1]';'Tanque enchido no exterior';1.00;11
87;'Yes [0]';'Sim';0.00;13
88;'No [1]';'Não';1.00;13
89;'Yes [0]';'Sim';0.00;48
90;'No [1]';'Não';1.00;48
91;'Not Asked [0]';'Não Questionado';0.00;48
92;'N/A [1]';'N/A';1.00;48
93;'Yes [1]';'Sim';1.00;14
94;'Apparent [1]';'Aparente';1.00;14
95;'Not Asked [0]';'Não Questionado';0.00;14
96;'Yes [1]';'Sim';1.00;15
97;'No [0]';'Não';0.00;15
98;'Yes [1]';'Sim';1.00;46
99;'No [0]';'Não';0.00;46
100;'Not Asked [0]';'Não Questionado';0.00;46
101;'Yes [1]';'Sim';1.00;45
102;'No [0]';'Não';0.00;45
103;'N/A [0]';'N/A';0.00;45
104;'Yes [1]';'Sim';1.00;16
105;'No [1]';'Não';1.00;16
106;'Not Asked [0]';'Não Questionado';0.00;16
107;'Yes [1]';'Sim';1.00;17
108;'No [1]';'Não';1.00;17
109;'Unknown [1]';'Desconhecido';1.00;17
110;'Not Asked [0]';'Não Questionado';0.00;17
111;'Yes [1]';'Sim';1.00;19
112;'Not available [1]';'Não disponível';1.00;19
113;'No [0]';'Não';0.00;19
114;'Yes, Normal [1]';'Sim, Normal';1.00;18
115;'Yes, Abnormal [1]';'Sim, Anormal';1.00;18
116;'No [0]';'Não';0.00;18
117;'Malaria';'Malaria';1.00;50
118;'Pneumonia';'Pneumonia';2.00;50
119;'Diarhoea';'Diarhoea';3.00;50
120;'Dysentery';'Dysentery';4.00;50
121;'Cough or Common Cold';'Cough or Common Cold';5.00;50
122;'Danger sign illness';'Danger sign illness';6.00;50
123;'Other illness';'Other illness';7.00;50
132;'Yes [1]';'Sim';1.00;53
133;'No [0]';'Não';0.00;53
134;'Yes [1]';'Sim';1.00;54
135;'No [1]';'Não';1.00;54
136;'Not Asked [0]';'Não Questionado';0.00;54
137;'Male [1]';'Masculino';1.00;54
138;'Yes [1]';'Sim';1.00;55
139;'No [1]';'Não';1.00;55
140;'Not Asked [0]';'Não Questionado';0.00;55
141;'Not applicable [1]';'Não aplicável';1.00;55
142;'Yes [1]';'Sim';1.00;56
143;'No [0]';'Não';0.00;56
144;'Antimalarial not prescribed [1]';'Antimalárico não receitado';1.00;56
145;'Yes [1]';'Sim';1.00;57
146;'No [0]';'Não';0.00;57
147;'N/A [1]';'N/A';1.00;57
148;'Yes [1]';'Sim';1.00;58
149;'Not [0]';'Não';0.00;58
150;'Not available [1]';'Não disponível';1.00;58
151;'Yes [1]';'Sim';1.00;59
152;'No [0]';'Não';0.00;59
153;'Not Applicable [1]';'Não aplicável';1.00;59
154;'Yes [0]';'Sim';0.00;60
155;'No [1]';'Não';1.00;60
156;'Unknown [0]';'Desconhecido';0.00;60
157;'Thick smear';'Gota espessa';0.00;61
158;'Thin smear';'Gota estendida';0.00;61
159;'Both';'Ambos';0.00;61
160;'RDT';'TDR';0.00;62
161;'Microscopy';'Microscopia';0.00;62
162;'Test not available';'Teste não disponível';0.00;62
163;'Test not ordered';'Teste não pedido';0.00;62
164;'Severe disease';'Doença grave';0.00;63
165;'Non-severe disease';'Doença não grave';0.00;63
166;'Main';'Principal';0.00;64
167;'Generator';'Gerador';0.00;64
168;'Solar';'Solar';0.00;64
169;'None';'Nenhum';0.00;64
170;'Pharmacy';'Farmácia';0.00;65
171;'Clinical';'Clínica';0.00;65
172;'Neither Pharmacy nor Clinical Records Available';'Registos de Farmácia ou Clínicos não disponíveis';0.00;65
173;'Unofficial register';'Registo não oficial';0.00;66
174;'Loose paper sheets';'Folhas de papel soltas';0.00;66
175;'Computerized record';'Registo informatizado';0.00;66
176;'Other';'Outro';0.00;66
177;'Técnico de Laboratório';'Técnico de Laboratório';0.00;67
179;'Normal';'Normal';0.00;68
180;'Abnormal';'Anormal';0.00;68
181;'RDT + [1]';'TDR +';1.00;69
182;'RDT - [0]';'TDR -';0.00;69
183;'Microscopy + [1]';'Microscopia +';1.00;69
184;'Microscopy - [0]';'Microscopia -';0.00;69
185;'Not found [0]';'Não encontrado';0.00;69
186;'No antimalarial prescribed';'Antimalárico não receitado';0.00;70
187;'ACT';'TCA';0.00;70
188;'Artemisinin (intramuscular monotherapy)';'Artemisinina (monoterapia intramuscular )';0.00;70
189;'Artemisinin (intravenous)';'Artemisinina (intravenoso)';0.00;70
190;'Artemisinin (oral monotherapy)';'Artemisinina (monoterapia oral )';0.00;70
191;'Artemether (intramuscular)';'Artemetér (intramuscular)';0.00;70
192;'Artesunate (intramuscular monotherapy)';'Artesunate (monoterapia intramuscular)';0.00;70
193;'Artesunate (rectal)';'Artesunato (rectal)';0.00;70
194;'Quinine (oral)';'Quinina (oral)';0.00;70
195;'Quinine (intramuscular)';'Quinina (intramuscular)';0.00;70
196;'Quinine (intravenous)';'Quinina (intravenoso)';0.00;70
197;'Chloroquine';'Cloroquina';0.00;70
198;'SP';'SP';0.00;70
199;'Other';'Outro';0.00;70
200;'Both RDT and Microscopy (any type)';'Ambos TDR e Microscopia (qualquer tipo)';0.00;10
201;'Mixed';'Misto';0.00;40
204;'Male';'Masculino';0.00;73
205;'Female';'Feminino';0.00;73
206;'Male';'Masculino';0.00;72
207;'Female';'Feminino';0.00;72
208;'Yes [0]';'Sim';0.00;74
209;'No [1]';'Não';1.00;74
210;'Yes [1]';'Sim';1.00;75
211;'No [0]';'Não';0.00;75
212;'Not available [1]';'Não disponível';1.00;75
213;'Yes [1]';'Sim';1.00;76
214;'No [0]';'Não';0.00;76
215;'N/A [1]';'NA';1.00;76
216;'Yes [1]';'Sim';1.00;77
217;'No [1]';'Não';1.00;77
218;'Asked [0]';'Questionado';0.00;77
219;'Yes [1]';'Sim';1.00;78
220;'No [1]';'Não';1.00;78
221;'Not Asked [0]';'Não Questionado';0.00;78
222;'Contagem absoluta';'Contagem absoluta';0.00;79
223;'Contagem percentual';'Contagem percentual';0.00;79
224;'One day';'Um dia';0.00;80
225;'Greater than one day';'Mais do que um dia';0.00;80
226;'Present & Functional [1]';'Presente & Functional';1.00;81
227;'Present & Non-functional [0]';'Presente & Não-funcional';0.00;81
228;'Done [1]';'Realizado';1.00;82
229;'Not Done [0]';'Não realizado';0.00;82
230;'Yes [1]';'Sim';1.00;83
231;'No [0]';'Não';0.00;83
232;'N/A [1]';'NA';1.00;83
233;'Not present [0]';'Não existe';0.00;81
258;'Not asked';'Não questionado';0.00;80
261;'Yes [0]';'Sim';0.00;88
