831;'MAL-SUP-RDT-C2-Q1';'MAL-SUP-RDT-C2-Q1 Health Worker Name';;'Health Worker Name';'O1ZBRUX44FQ';1;0.00;0.00;375;26;;
851;'MAL-SUP-RDT-C3-Q1';'MAL-SUP-RDT-C3-Q1 Health Worker Name';;'Health Worker Name';'EnvcP9eOLbL';1;0.00;0.00;418;26;;
114;'MAL-SUP-Clinical fever evaluation-C2-Q1';'MAL-SUP-Clinical fever evaluation-C2-Q1 Health Worker Name';;'Health Worker Name';'a4E8DF0MqPj';1;0.00;0.00;361;26;;
340;'MAL-SUP-Environment-Q1';'MAL-SUP-Environment-Q1 Have you had any disruptions in water supply lasting more than a day in the last two weeks?';;'Have you had any disruptions in water supply lasting more than a day in the last two weeks?';'kXDiD6ZYcq3';1;5.00;5.00;449;4;;
506;'MAL-SUP-Feedback-Q1';'MAL-SUP-Feedback-Q1 Problem 1:';;'Problem 1:';'k0BP1DZhPL1';1;0.00;3.00;447;25;;29
526;'MAL-SUP-Health Facility Info-Q1';'MAL-SUP-Health Facility Info-Q1 Date of Visit (DD/MM/YYYY)';;'Date of Visit (DD/MM/YYYY)';'hYNxszMyu8H';1;0.00;0.00;305;28;;
1;'MAL-SUP-Clinical fever evaluation-C1-Q1';'MAL-SUP-Clinical fever evaluation-C1-Q1 Health Worker Name';;'Health Worker Name';'kfqKemsm5KX';1;0.00;0.00;318;26;;
617;'MAL-SUP-Microscopy-C2-Q1';'MAL-SUP-Microscopy-C2-Q1 Health Worker Name';;'Health Worker Name';'sbgJhg8jDhp';1;0.00;0.00;381;26;;
227;'MAL-SUP-Clinical fever evaluation-C3-Q1';'MAL-SUP-Clinical fever evaluation-C3-Q1 Health Worker Name';;'Health Worker Name';'LNcFWy90Yfr';1;0.00;0.00;404;26;;
811;'MAL-SUP-RDT-C1-Q1';'MAL-SUP-RDT-C1-Q1 Health Worker Name';;'Health Worker Name';'ntQ94PNtPSs';1;0.00;0.00;332;26;;
689;'MAL-SUP-Microscopy-C3-Q1';'MAL-SUP-Microscopy-C3-Q1 Health Worker Name';;'Health Worker Name';'Z9KWl8JMayI';1;0.00;0.00;424;26;;
761;'MAL-SUP-Profile-Q1';'MAL-SUP-Profile-Q1 Clinical Officers, Full-Time today';;'Clinical Officers, Full-Time today';'GFCEklocb4C';1;0.00;0.00;307;24;;
545;'MAL-SUP-Microscopy-C1-Q1';'MAL-SUP-Microscopy-C1-Q1 Health Worker Name';;'Health Worker Name';'sQ8NqSDRbDq';1;0.00;0.00;338;26;;
