1;'Asked';1
2;'Done';1
3;'YesNo';1
4;'InvYesNo';1
5;'YesNoNA';1
6;'YesNoAsked';1
7;'YesNoUnkAsked';1
9;'PresentFunctional';1
10;'Gender';1
11;'Officer';1
12;'MAL Results';1
13;'MAL Diagnose';1
14;'MAL Species';1
15;'Result';1
16;'Feedback provided';1
17;'Facility Type';1
18;'Health health Centre Level';1
19;'ANC services located';1
20;'MAL Reporting';1
21;'Counting method';1
22;'Ownership';1
23;'MAL Registers';1
24;'Number';2
25;'Long Text';3
26;'Text';4
27;'Monthly reporting format';5
28;'Date';6
29;'HF Level';1
30;'Place where patient information being recorded';1
31;'Services Provided';1
32;'Clinically suspected diagnosis';1
33;'Pharmacy Result';1
