1;'Inquiry and Physical Examination';1;1;0
2;'Diagnosis, Treatment and Counseling';2;1;0
4;'Work Environment Assessment';4;1;0
6;'FP all methods';1;2;0
7;'Focused Antenatal Care';1;3;0
8;'Post Partum IUD';1;4;0
9;'Pregnancy and delivery complications';1;5;0
10;'Labor and Delivery';1;6;0
11;'Cervical Cancer';1;7;0
12;'Tuberculosis';1;8;0
13;'Newborn Resuscitation';1;9;0
14;'HIV';1;10;0
15;'Hypertension';1;11;0
16;'Licenses';1;12;0
17;'Malaria in Adults';1;13;0
18;'Post Abortion Care';1;14;0
19;'Sexually Transmitted Infections';1;15;0
