1;'KE HNQIS ICM.IPE-100';'KE HNQIS ICM.IPE-100-Intro-Provider obtains personal history (incl name, age, address, education, occupation)';;'Provider obtains personal history (incl name, age, address, education, occupation)';'<ul><li><strong>Name:</strong> identification/record keeping.</li><li><strong>Age: </strong>determine drug doses, nutritional status, and growth evaluation.</li><li><strong>Address:</strong> determine if high risk area for certain diseases (e.g. Malaria).';'YU8JOdyCu3H';100;0.00;0.00;1;53;;81
2;'KE HNQIS ICM.IPE-110';'KE HNQIS ICM.IPE-110-Intro-Provider asks reason for visiting health facility';;'Provider asks reason for visiting health facility';'<p><strong>Determine patient complaints</strong></p><ul><li>Initial visit or follow-up.</li><li>Initial visit: assess, classify and identify treatment.</li><li>Follow-up visit: assess and advise to complete medication, change medication or refer.</li></ul';'yYU9SYUFuHy';110;0.00;0.00;1;53;;81
3;'KE HNQIS ICM.IPE-120';'KE HNQIS ICM.IPE-120-Intro-Provider checks immunization status';;'Provider checks immunization status';'<p><strong>Determine immunization status, provide immunization if necessary</strong></p><ul><li>Immunization offers protection to the child against common potentially life-threatening childhood illnesses.</li><li>Do not miss any opportunity to immunize a';'iwiOQoq5Pl8';120;0.00;0.00;1;53;;81
4;'KE HNQIS ICM.IPE-130';'KE HNQIS ICM.IPE-130-Inq-Provider asks whether there are lethargy, convulsions/convulsing now';;'Provider asks whether there are lethargy, convulsions/convulsing now';'<ul><li>Convulsions and lethargy are danger signs. A child currently convulsing will require diazepam immediately.</li><li>Complete the rest of the assessment quickly, give any pre-referral treatment urgently and refer without delay.</li></ul>';'a4VBeLzq7YT';130;0.10;0.10;2;53;;82
5;'KE HNQIS ICM.IPE-140';'KE HNQIS ICM.IPE-140-Inq-Provider asks if the patient can drink or breastfeed.';;'Provider asks if the patient can drink or breastfeed.';'<ul><li>Confirm child''s ability to drink or breastfeed by direct observation.</li><li>Inability to drink or breast feed is a danger sign and requires immediate attention.</li><li>Clear any nasal secretions that might be causing difficulty suckling.</li><l';'XZOpQhD4TRr';140;0.10;0.10;2;53;;82
6;'KE HNQIS ICM.IPE-150';'KE HNQIS ICM.IPE-150-Inq-Provider asks if there is vomiting.';;'Provider asks if there is vomiting.';'<ul><li>Vomiting everything is a danger sign.</li><li>If unable to retain food, fluids or oral drugs, complete the rest of the assessment quickly, give any pre-referral treatment needed and refer urgently.</li><li>&If vomiting but retaining some food/flui';'IMGNvKKHhsW';150;0.10;0.10;2;53;;82
7;'KE HNQIS ICM.IPE-160';'KE HNQIS ICM.IPE-160-Inq-Provider asks about frequency & Duration of cough.';;'Provider asks about frequency & Duration of cough.';'<p><strong>Ask if the child is coughing</strong><br/>Cough with or without difficulty breathing is the main presenting symptom of pneumonia. Assess the respiratory system of a child with cough. Determine if pneumonia, common cold, asthma, tuberculosis or';'KFy7fYsu4Td';160;0.10;0.10;2;53;;82
8;'KE HNQIS ICM.IPE-170';'KE HNQIS ICM.IPE-170-Inq-Provider asks if there is difficulty in breathing, fast breathing, wheezing .';;'Provider asks if there is difficulty in breathing, fast breathing, wheezing .';'<p><strong>Ask for difficulty breathing:</strong> Difficult breathing with or without cough is the main presenting symptom of pneumonia.<br /><strong>Ask if there if fast breathing:</strong> Fast breathing is one of the signs needed to classify pneumonia.';'RIzjlWGNlAj';170;0.10;0.10;2;53;;82
9;'KE HNQIS ICM.IPE-180';'KE HNQIS ICM.IPE-180-Inq-Provider asks whether mother or other family or community members have cough';;'Provider asks whether mother or other family or community members have cough';'<p>Screen the child for TB if there has been contact with a person with confirmed active pulmonary TB or person with chronic cough, even when cough is not the primary presenting problem in the child.</p>';'Z2vm8kUah6l';180;0.10;0.10;2;53;;82
10;'KE HNQIS ICM.IPE-190';'KE HNQIS ICM.IPE-190-Inq-Provider asks about diarrhoea';;'Provider asks about diarrhoea';'<p><strong>Diarrhoea is presence of 3 or more loose or watery stools in a 24-hour period.</strong></p><ul><li>Assess child for dehydration.</li></ul><p><strong>Diarrhoea present for more than 14 days is persistent diarrhoea.</strong></p><ul><li>Children w';'ERPlDvFN9qI';190;0.10;0.10;2;53;;82
11;'KE HNQIS ICM.IPE-200';'KE HNQIS ICM.IPE-200-Inq-Provider asks whether the stool contains blood or mucus.';;'Provider asks whether the stool contains blood or mucus.';'<p><strong>Blood in stool with or without mucus is a sign of dysentery.</strong></p><ul><li>A child with dysentery will require an antibiotic in addition to fluids and zinc.</li></ul>';'BO0AX1tU3Kn';200;0.10;0.10;2;53;;82
12;'KE HNQIS ICM.IPE-210';'KE HNQIS ICM.IPE-210-Inq-Provider asks about fever – is there a pattern, duration, associated chills and/or rigors';;'Provider asks about fever – is there a pattern, duration, associated chills and/or rigors';'<p><strong>Fever may be a sign of malaria.</strong></p><ul><li>Determine malaria risk.</li></ul><p><strong>Pattern of fever:</strong> Periodic fevers occurring every 48-72 hours may occur in malaria depending on the species, but may not always occur in fa';'W6RqrALbHvj';210;0.10;0.10;2;53;;82
13;'KE HNQIS ICM.IPE-220';'KE HNQIS ICM.IPE-220-Inq-Provider ask for HIV positivity in mother or child';;'Provider ask for HIV positivity in mother or child';'<p><strong>Ask for HIV status of mother and child</strong></p><ul><li>Ask the mother if she knows her HIV status.</li><li>If mother is HIV positive, determine the status of the child.</li><li>For a known HIV positive child, plan to treat, counsel and foll';'T3mzR8H8cCP';220;0.10;0.10;2;53;;82
14;'KE HNQIS ICM.IPE-230';'KE HNQIS ICM.IPE-230-PE-Provider checks whether the patient is awake. If the patient is not awake, checks for consciousness/lethargy (try to wake)';;'Provider checks whether the patient is awake .If the patient is not awake, checks for consciousness/lethargy (try to wake)';'<p>Try to wake the child. A child unable to be awoken is unconscious. A lethargic child looks weak and is not interested in the surroundings. Unconsciousness or lethargy are danger signs that require urgent attention.</p><ul><li>If the child is brought in';'K9OQiDfENSc';230;0.14;0.14;3;53;;83
15;'KE HNQIS ICM.IPE-240';'KE HNQIS ICM.IPE-240-PE-Provider checks for signs of malnutrition – visible emaciation (marasmus or kwashiorkor), pallor (anemia), oedema. Measure MUAC';;'Provider checks for signs of malnutrition – visible emaciation (marasmus or kwashiorkor), pallor (anemia), oedema. Measure MUAC';'<p>A child may not have specific symptoms that point to malnutrition or anaemia and a care giver may not have noticed the child to be malnourished.</p><ul><li><strong>Check for visible emaciation</strong> which is a sign of marasmus.</li><li><strong>Check';'jSlshy864LD';240;0.14;0.14;3;53;;83
16;'KE HNQIS ICM.IPE-250';'KE HNQIS ICM.IPE-250-PE-Provider weighs the patient. Checks weight on a growth chart.';;'Provider weighs the patient. Checks weight on a growth chart.';'<ul><li>Weigh the child.</li><li>Calculate age of the child in months.</li><li>Find a point on the chart where the line for the child''s age meets the line for the child''s weight:<ul><li>If the point is below the bottom curve, the child is very low weight';'p3MvVAuXIW2';250;0.14;0.14;3;53;;83
17;'KE HNQIS ICM.IPE-260';'KE HNQIS ICM.IPE-260-PE-Provider assesses the respiratory system – counts breaths, checks for chest indrawing, stridor, wheezing, listens to breath sounds.';;'Provider assesses the respiratory system – counts breaths, checks for chest indrawing, stridor, wheezing, listens to breath sounds.';'<p><strong>Assess respiratory system</strong></p><ul><li>Fast breathing is a sign of pneumonia. Count the breaths when the child is calm.</li></ul><p><strong>Fast Breathing Rates:</strong></p><ul><li>From birth up to 2 months: 60 breaths per minute or mor';'qmGnowBqwuz';260;0.14;0.14;3;53;;83
18;'KE HNQIS ICM.IPE-270';'KE HNQIS ICM.IPE-270-PE-Provider checks for dehydration – looks for sunken eyes, pinches the skin, offers the patient water if awake.';;'Provider checks for dehydration – looks for sunken eyes, pinches the skin, offers the patient water if awake.';'<p><strong>Assess for dehydration</strong></p><ul><li>Check for sunken eyes.</li><li>Pinch the skin of the abdomen. Determine if the skin pinch returns very slowly, (longer than 2 seconds) or slowly.</li><li>Check ability to drink.</li><li>Classify dehydr';'tHyCOD3KhNU';270;0.14;0.14;3;53;;83
19;'KE HNQIS ICM.IPE-280';'KE HNQIS ICM.IPE-280-PE-Provider checks the temperature.';;'Provider checks the temperature.';'<p><strong>Fever is axillary temperature above 37.5°C and hypothermia is below 35.5°C</strong></p><ul><li>If fever is present, examine for measles, stiff neck, runny nose or other causes of fever.</li><li>Take blood sample for malaria testing if determine';'wl65ofYk8Aj';280;0.14;0.14;3;53;;83
20;'KE HNQIS ICM.IPE-290';'KE HNQIS ICM.IPE-290-PE-Provider takes blood sample for rapid diagnostic test or microscopy in the laboratory.';;'Provider takes blood sample for rapid diagnostic test or microscopy in the laboratory.';'<p>Parasitological diagnosis of malaria must be confirmed using Rapid Diagnostic Testing (RDT) or microscopy in the laboratory before giving any antimalarial.<br/>Giving antimalarial without testing leads to unnecessary use of ACTs which is expensive; may';'pdHFr9t9hnI';290;0.14;0.14;3;53;;83
21;'KE HNQIS ICM.DTC-100';'KE HNQIS ICM.DTC-100-Diag1-DIAGNOSIS AND TREATMENT';;'DIAGNOSIS AND TREATMENT';;'MwExdj0Psvp';100;0.00;0.00;4;49;;
22;'KE HNQIS ICM.DTC-110';'KE HNQIS ICM.DTC-110-Diag1-Diagnosis 1 based on supervisor''s observation';;'Diagnosis 1 based on supervisor''s observation';;'Op14xNMJi14';110;0.00;0.00;4;50;;
23;'KE HNQIS ICM.DTC-120';'KE HNQIS ICM.DTC-120-Diag1-Treatment 1 administered';;'Treatment 1 administered';;'YtNPDDGkCqK';120;0.00;0.00;4;51;;
24;'KE HNQIS ICM.DTC-130';'KE HNQIS ICM.DTC-130-Diag1-Does diagnosis 1 match treatment 1?';;'Does diagnosis 1 match treatment 1?';'<a href="https://drive.google.com/open?id=0BwFVG9gNmqDyekZKazRkVkdndWM">Diagnosis Matrix</a><br /><br />
<a href="https://drive.google.com/open?id=0BwFVG9gNmqDyZ1JsZ3ZZME55dTQ">Treatment Matrix</a>';'rTZ1EI1HBSt';130;0.25;0.25;4;89;;86
25;'KE HNQIS ICM.DTC-140';'KE HNQIS ICM.DTC-140-Diag1-COUNSELING';;'COUNSELING';;'MGQuBzU24u8';140;0.00;0.00;4;49;;
