1;'HNQIS-ICM-I&PE-100';'HNQIS-ICM-I&PE-Intro-100-Provider obtains personal history (incl name, age, address, education, occupation)';;'Provider obtains personal history (incl name, age, address, education, occupation)';'<p><strong>Always ask the following in personal history:</strong></p><ul> <li><strong>Name of child: </strong>uniquely identifies the patient and ensures proper record keeping.</li> <li><strong>Age of child:</strong> some drug doses are given according to the child''s age. Age is also used for assessment of nutritional status using weight for age and for assessment of growth on the growth chart.</li> <li><strong>Address:</strong> It is important to know the locality the child comes from because some geographical locations  are high risk areas for some diseases e.g. malaria.</li> <li><strong>Education level of mother:</strong> will enable you decide how best to communicate and counsel her about how to give the medication and provide home treatment for her baby.</li> <li><strong>Occupation of mother:</strong> may determine availability of mother to provide observed home treatment.</li></ul>';'VkTeXmGEzq6';100;0.00;0.00;1;53;;2
2;'HNQIS-ICM-I&PE-110';'HNQIS-ICM-I&PE-Intro-110-Provider asks reason for visiting health facility';;'Provider asks reason for visiting health facility';'<p><strong>Ask reason for visiting facility</strong></p><ul> <li>Ask for the child''s complaints. This will enable you to prompt for more questions related to the reason the child has been brought to hospital.</li> <li>Asking for the reason for visit will also enable you determine if this is an initial or follow-up visit. For initial visit, assess, classify and identify treatment depending on the presenting problem. For follow-up visit assess progress of the child and decide whether to advise to complete medication, change medication or refer if the child is worsening.</li></ul>';'HZL4nB1coAA';110;0.00;0.00;1;53;;2
3;'HNQIS-ICM-I&PE-120';'HNQIS-ICM-I&PE-Intro-120-Provider checks immunization status';;'Provider checks immunization status';'<p><strong>Check immunization status of the child during each visit</strong></p><ul> <li>Immunization offers protection to the child against common potentially life-threatening childhood illnesses. You need to check if the child''s immunization is up to date. This will ensure there is no delay in giving any immunization and if there has already been a delay, the opportunity to immunize the child should not be missed again.</li> <li>Immunize if due for immunization today, if not due for immunization, give the mother a specific return date for immunization.</li></ul>';'ZJgZ0sPqrbf';120;0.00;0.00;1;53;;2
4;'HNQIS-ICM-I&PE-130';'HNQIS-ICM-I&PE-Inq-130-Provider asks whether there are lethargy, convulsions/convulsing now';;'Provider asks whether there are lethargy, convulsions/convulsing now';'<p><strong>Ask whether there is lethargy, convulsions/convulsing now</strong><br />A child with any of these signs has a general danger sign. General danger signs include inability to drink or breastfeed, vomiting everything, history of convulsions or convulsing currently, lethargy or unconsciousness.<br />A child with any of these signs is very sick and needs urgent attention. A child currently convulsing will require diazepam immediately. Complete the rest of the assessment quickly, give any pre-referral treatment urgently and refer without delay.</p>';'vWgsPN1RPLl';130;1.00;1.00;2;53;;2
5;'HNQIS-ICM-I&PE-140';'HNQIS-ICM-I&PE-Inq-140-Provider asks if the patient can drink or breastfeed.';;'Provider asks if the patient can drink or breastfeed.';'<p><strong>Ask if the patient can drink or breastfeed</strong><br />You need to assess if a child can drink or breastfeed to be able to determine if the child has a general danger sign. A child not able to drink or breastfeed is very sick and has a general danger sign. The other danger sings include vomiting everything, history of convulsions or convulsing currently, lethargy or unconsciousness.</p><ul><li>Confirm child''s ability to drink or breastfeed by direct observation.</li><li>Clear any nasal secretions that might be causing difficulty sucking.</li></ul><p>If still unable to breastfeed or drink, give urgent attention, complete the rest of the assessment, give any pre-refferal treatments needed and refer immediately.</p>';'m2pPvcFW7Ri';140;1.00;1.00;2;53;;2
6;'HNQIS-ICM-I&PE-150';'HNQIS-ICM-I&PE-Inq-150-Provider asks if there is vomiting.';;'Provider asks if there is vomiting.';'<p><strong>Ask whether the child is vomiting and whether he/she is vomiting everything or retaining some food/fluid</strong></p><ul> <li>A child vomiting everything will not be able to retain food, fluids or oral drugs. Vomiting everything is a general danger sign.The other danger signs include inability to drink or breastfeed, history of convulsions or convulsing currently, lethargy or unconsciousness For such a child, complete the rest of the assessment quickly, give any pre-refferal treatment needed and refer urgently.</li> <li>If the child is vomiting but retaining some food/fluid, plan to give fluids and medication and observe if the child retains before allowing them to go home.</li></ul>';'sa0oRpuk0oh';150;1.00;1.00;2;53;;2
7;'HNQIS-ICM-I&PE-160';'HNQIS-ICM-I&PE-Inq-160-Provider asks about frequency & Duration of cough.';;'Provider asks about frequency & Duration of cough.';'<p><strong>Ask if the child is coughing</strong><br />Cough is a main symptom and must be asked in all children. The other main symptoms are diarrhoea, fever and ear problem.<br />Cough with or without difficult breathing is the main presenting symptom of pneumonia. Alternatively, a child with cough may also be having a common cold, asthma, tuberculosis or other espiratory problem. You need to assess the respiratory system of a child with cough.<br /><strong>Ask about duration of cough</strong><br />A child with a cough more than 14 days (chronic cough) may be having tuberculosis. Screen the child for tuberculosis if you are able to, or refer the child for further assessment of the cough after stabilization.<br /><strong>Ask about frequency of cough</strong><br />A child with asthma may cough mainly at night, when exposed to cold, dust, smoke or exercise but in pneumonia, the cough may not have a particular pattern.</p>';'ON11OhbcQuL';160;1.00;1.00;2;53;;2
8;'HNQIS-ICM-I&PE-170';'HNQIS-ICM-I&PE-Inq-170-Provider asks if there is difficulty in breathing, fast breathing, wheezing .';;'Provider asks if there is difficulty in breathing, fast breathing, wheezing .';'<p><strong>Ask for difficulty breathing: </strong>Difficult breathing with or without cough is the main presenting symptom of pneumonia. Assess the child with difficult breathing for pneumonia.<br /><strong>Ask if there if fast breathing:</strong> Fast breathing is a sign of pneumonia.<br /><strong>Ask if the child is wheezing: </strong>The commonest cause of wheezing is asthma.</p>';'cHaoGgBRQ80';170;1.00;1.00;2;53;;2
9;'HNQIS-ICM-I&PE-180';'HNQIS-ICM-I&PE-Inq-180-Provider asks whether mother or other family or community members have cough';;'Provider asks whether mother or other family or community members have cough';'<p><strong>Ask whether there is a close contact with cough</strong><br />Air-borne transmission of Tuberculosis, pneumonia and other infectious lung diseases occur from close contact with patients with active pulmonary tuberculosis. Enquire further if the duration of coughed is more than 14 days, or if they are known to have Tuberculosis (TB) disease. Screen the child for TB if there is a contact with confirmed TB or person with chronic cough even when cough is not the primary presenting problem in the child.</p>';'bmwgoQyMRr3';180;1.00;1.00;2;53;;2
10;'HNQIS-ICM-I&PE-190';'HNQIS-ICM-I&PE-Inq-190-Provider asks about diarrhoea';;'Provider asks about diarrhoea';'<p><strong>Ask about diarrhoea in ALL children</strong><br />Diarrhoea is presence of 3 or more loose or watery stools in a 24-hour period.<br />Diarrhoea is a main symptom and must be asked. The other main symptoms are cough or difficulty breathing, fever and ear problem.<br />A child with diarrhoea will require assessment for dehydration. A feeding history should also be sought in a child with diarrhoea.<br /><strong>Ask about duration of diarrhoea</strong><br />Diarrhoea present for more than 14 days is persistent diarrhoea. Children with persistent diarrhoea are at risk of malnutrition. Therefore, in addition to managing dehydration if present, you will have to counsel the mother how to feed the child.</p>';'qdU16BGOLDw';190;1.00;1.00;2;53;;2
11;'HNQIS-ICM-I&PE-200';'HNQIS-ICM-I&PE-Inq-200-Provider asks whether the stool contains blood or mucus.';;'Provider asks whether the stool contains blood or mucus.';'<p><strong>Ask whether stool contains blood or mucus</strong></p><ul><li>Blood in stool with or without mucus is a sign of dysentery.</li></ul><p>A child with dysentery will require an antibiotic in addition to fluids, zinc and vitamin A. Vitamin A is indicated if the diarrhoea is persistent.</p><ul><li>Mucus in stool may be a sign of amoebiasis or giardiasis.</li></ul>';'wj7KpcVPI9N';200;1.00;1.00;2;53;;2
12;'HNQIS-ICM-I&PE-210';'HNQIS-ICM-I&PE-Inq-210-Provider asks about fever – is there a pattern, duration, associated chills and/or rigors';;'Provider asks about fever – is there a pattern, duration, associated chills and/or rigors';'<p><strong>Ask about:</strong><br /><strong>Presence of fever:</strong> Fever is a main symptom in children and must be asked in ALL children. (The other main symptoms in children are cough or difficuty breathing, diarrhoea and ear problem.) <br />Fever maybe a sign of malaria and you need to determine the malaria risk.</p><ul><li>Decide the malaria risk whether high or low depending on the locality the child comes from.</li><li>Ask if the child has traveled to a high malaria risk area in the last 2 weeks.</li></ul><p><strong>Pattern of fever: </strong>Periodic fevers occuring every 48-72 hours may occur in malaria depending on the species, but may not always occur in <em>falciparum</em> malaria. In typhoid fever, the fever rises in a step-wise manner.<br /><strong>Duration of fever:</strong> If fever has been present more than 7 days, ask if the fever has been present everyday. A child with fever more than 7 days may have a severe illness such as typhoid fever.<br /><strong>Are there associated chills and/or rigors: </strong>The classic pattern of malaria begins with a period of chills/rigors which last for about 1-2 hours then followed by fever.</p><p>If there is history of fever, it is also important to ask for symptoms of measles in the last 3 months or if the child has had measles in the last 3 months (generalized rash <strong>and </strong>cough, runny nose or red eyes).<br />Presence or absence of fever and associated symptoms will guide you to making a diagnosis.</p>';'QEGSLxUwLEA';210;1.00;1.00;2;53;;2
13;'HNQIS-ICM-I&PE-220';'HNQIS-ICM-I&PE-Inq-220-Provider ask for HIV positivity in mother or child';;'Provider ask for HIV positivity in mother or child';'<p><strong>Ask for HIV status of mother and child</strong><br />Ask the mother if she knows her HIV status. If she is HIV positive, determine the status of the child as per protocol.</p><ul><li>For a known HIV positive child, plan to treat, counsel and follow up for existing conditions and enrol or refer for enrolment for HIV care as per the protocols of HIV management in children if not already on ART.</li><li>If the child''s status is unknown, test the child.</li><li>If HIV exposed, offer treatment or refer for treatment as per the protocols for the HIV exposed.</li></ul>';'a0gVksA1Kcm';220;1.00;1.00;2;53;;2
