1;'វិជ្ជមាន';'Positive';0.00;1;'question_images/rdt_positive.png';1;'f38b00'
2;'អវិជ្ជមាន';'Negative';0.00;1;'question_images/rdt_negative.png';2;'00b3e3'
3;'មិនបានធ្វើតេស្តឈាម';'Not Tested';0.00;1;'question_images/rdt_no_tested.png';3;'003745'
4;'ប្រុស';'Male';0.00;2;'question_images/sex_male.png';4;'f0d100'
5;'ស្រី';'Female';0.00;2;'question_images/sex_female.png';5;'799900'
6;'ចំរុះ(Mixed)';'Mixed';0.00;4;'question_images/specie_mix.png';6;'f38b00'
7;'ផ្លាស្មូដ្យូម ហ្វាល់ស៊ីប៉ារ៉ូម(Pf)';'Plasmodium falciparum (Pf)';0.00;4;'question_images/specie_pf.png';7;'13a285'
8;'ផ្លាស្មូដ្យូម វីវ៉ាក់(Pv)';'Plasmodium vivax (Pv)';0.00;4;'question_images/specie_pv.png';8;'f0d100'
9;'ផ្តល់ឱសថសំរាប់ក្មេង';'Child';0.00;5;'question_images/treatment_child.png';9;'799900'
10;'ផ្តល់ឱសថសំរាប់មនុស្សជំទង់';'Adolescent';0.00;5;'question_images/treatment_adolescent.png';10;'f38b00'
11;'ផ្តល់ឱសថសំរាប់មនុស្សធំ';'Adult';0.00;5;'question_images/treatment_adult.png';11;'00b3e3'
12;'ធ្វើការបញ្ជូន';'Referral';0.00;5;'question_images/treatment_referral.png';12;'f0d100'
13;'ពីព្រៃ';'Forest';0.00;6;'question_images/risk_group_forest.png';13;'799900'
14;'ពីចំការ';'Plantation';0.00;6;'question_images/risk_group_plantation.png';14;'f0d100'
15;'ពីប្រទេសផ្សេងៗ';'Another Country';0.00;6;'question_images/risk_group_another_country.png';15;'00b3e3'
16;'ផ្សេងៗ';'Other';0.00;6;'question_images/risk_group_none.png';16;'003745'
