1;'0';'Zero';;'aSCal7Ftgzp';0
2;'1';'One';1;'aSCal7Ftgz1';0
3;'1.1';'One.One';2;'aSCal7Ftg11';0
4;'1.1.1';'One.One.One';3;'aSCal7Ft111';0
5;'1.2';'One.Two';2;'aSCal7Ftg12';1
6;'1.2.1';'One.Two.One';5;'aSCal7Ft121';0
7;'1.2.2';'One.Two.Two';5;'aSCal7Ft122';1
8;'1.2.3';'One.Two.Three';5;'aSCal7Ft123';2
9;'2';'Two';1;'aSCal7Ftg2';1
10;'2.1';'Two.One';9;'aSCal7Ftg21';0
11;'2.1.1';'Two.One.One';10;'aSCal7Ftg211';0
12;'2.2';'Two.Two';9;'aSCal7Ftg22';1
13;'2.2.1';'Two.Two.One';12;'aSCal7Ftg221';0
14;'2.3';'Two.Three';9;'aSCal7Ftg23';2
15;'2.3.1';'Two.Three.One';14;'aSCal7Ftg231';0
16;'2.3.2';'Two.Three.Two';14;'aSCal7Ftg232';1
17;'2.3.3';'Two.Three.Three';14;'aSCal7Ftg233';2
