1;'MWI_MAL.QA-Gen OTSS-100';'MWI_MAL.QA-Gen OTSS-HF Info-Hours of Operation - Weekdays-100';;'Hours of Operation - Weekdays';'t67zcUHzdwz';100;0.00;0.00;1;49;;
2;'MWI_MAL.QA-Gen OTSS-110';'MWI_MAL.QA-Gen OTSS-HF Info-Open-110';;'Open';'O1PEpi6f0Cl';110;0.00;0.00;1;26;;
3;'MWI_MAL.QA-Gen OTSS-120';'MWI_MAL.QA-Gen OTSS-HF Info-Close-120';;'Close';'GMNKLK0cxdO';120;0.00;0.00;1;26;;
4;'MWI_MAL.QA-Gen OTSS-130';'MWI_MAL.QA-Gen OTSS-HF Info-Hours of Operation - Weekend-130';;'Hours of Operation - Weekend';'ltPJ4JLgu7F';130;0.00;0.00;1;49;;
5;'MWI_MAL.QA-Gen OTSS-140';'MWI_MAL.QA-Gen OTSS-HF Info-Open-140';;'Open';'kDrjwElJQrz';140;0.00;0.00;1;26;;
6;'MWI_MAL.QA-Gen OTSS-150';'MWI_MAL.QA-Gen OTSS-HF Info-Close-150';;'Close';'RWuYwNgDNMe';150;0.00;0.00;1;26;;
7;'MWI_MAL.QA-Gen OTSS-160';'MWI_MAL.QA-Gen OTSS-HF Info-Supervisor Name-160';;'Supervisor Name';'G97y4cZWq2Z';160;0.00;0.00;1;26;;
8;'MWI_MAL.QA-Gen OTSS-170';'MWI_MAL.QA-Gen OTSS-HR_T-HUMAN RESOURCES - OPD STAFF-170';;'HUMAN RESOURCES - OPD STAFF';'RwvGjOQi6iw';170;0.00;0.00;2;49;;
9;'MWI_MAL.QA-Gen OTSS-180';'MWI_MAL.QA-Gen OTSS-HR_T-Note number of full- or part-time employees (record 0 if staff is never present)-180';;'Note number of full- or part-time employees (record 0 if staff is never present)';'qPnBXqeJ179';180;0.00;0.00;2;49;;
10;'MWI_MAL.QA-Gen OTSS-190';'MWI_MAL.QA-Gen OTSS-HR_T-MD/Physician/Medical Officer-190';;'Medical Officer';'DKhbmixlFaN';190;0.00;0.00;2;24;;
11;'MWI_MAL.QA-Gen OTSS-200';'MWI_MAL.QA-Gen OTSS-HR_T-Clinical Officer/Medical Licentiate-200';;'Clinical Officer';'lhan96kgqV1';200;0.00;0.00;2;24;;
12;'MWI_MAL.QA-Gen OTSS-210';'MWI_MAL.QA-Gen OTSS-HR_T-Nurse-210';;'Nurse';'u0sWkg8PPwG';210;0.00;0.00;2;24;;
13;'MWI_MAL.QA-Gen OTSS-220';'MWI_MAL.QA-Gen OTSS-HR_T-Midwife-220';;'Medical Intern';'ffltDXVcO98';220;0.00;0.00;2;24;;
14;'MWI_MAL.QA-Gen OTSS-230';'MWI_MAL.QA-Gen OTSS-HR_T-Student/Intern-230';;'Students on attachment';'Y3klyQHMJ2p';230;0.00;0.00;2;24;;
