1;'AgeUnit';1
2;'AvailableNotYesRecent';1
3;'Gender';1
4;'Officer';1
5;'MALdiagnose2';1
6;'PresentFunctional';1
7;'PositiveNegative';1
13;'Yes0No1';1
15;'Yes1No0';1
18;'YesNormal1YesAbnormal1No0';1
19;'Yes1NotAvailable1No0';1
24;'Positive Integer or Zero';2
25;'Text (Long)';3
26;'Text';4
27;'date';5
28;'Positive Integer';6
34;'Asked';1
36;'Feedback';1
37;'HealthFacilityLevel';1
38;'MALdiagnose';1
39;'NoPartiallyCompletely';1
40;'MALspecies';1
41;'MALresults';1
42;'Problem';1
43;'SymptonPresence';1
44;'TestResult';1
45;'Yes1No0NA0';1
46;'Yes1No0Asked0';1
48;'Yes0No1Asked0NA1';1
49;'Label';7
50;'Diagnosis';1
51;'Treatment2';1
53;'Yes1No0CBHorizontal';8
54;'Yes1No1Asked0Male1CBVertical';9
56;'Yes1No0Prescribed1CBVertical';9
57;'Yes1No0NA1';1
58;'Yes1No0NotAvailable1';1
60;'Yes0No1Unk0CBVertical';9
61;'TestType3';1
62;'TestType2';1
63;'SevereNonsevereCBVertical';9
65;'PharmacyClinical';1
67;'Officer2';1
69;'MALresults2';1
70;'AntiMalTreatment';1
72;'GenderCBHorizontal';8
73;'GenderCBVertical';9
75;'Yes1No0NotAvailable1CBVertical';9
76;'Yes1No0NA1CBHorizontal';8
77;'Yes1No1Asked0CBHorizontal';8
79;'Counting';1
81;'PresentFunctionalCBVertical';9
83;'Yes1No0NA1CBVertical';9
84;'Yes0No1CBHorizontal';8
85;'Yes1NA1No0';1
86;'Yes0NA1No1';1
87;'Counting method';1
88;'TZ_HealthFacilityLevel';1
90;'Yes1No0CBVertical';9
91;'Yes0NA1No1CBHorizontal';8
92;'TZ_LabOfficer';1
94;'TZ_Officer';1
96;'CCMOptOut';1
97;'RDTOptOut';1
98;'MicroOptOut';1
99;'PositiveNegativeCBVertical';9
100;'Antibiotic';1
101;'ReferredAdmittedCBVertical';9
102;'TZ_ClinOfficer';1
103;'WasteMgmt';1
104;'GapAddressedCBVertical';9
105;'Yes1No0Disabled';10
